key,en,es
SELECT_FILE,Select File,Elegir archivo
SOURCE_SW,Software,Software
START_PH,Start:,Principio:
END_PH,End:,Fin:
3_L_MORPH,Morpheme Gloss - 3 Lines,Morfemas - 3 líneas
4_L_MORPH,Morpheme Gloss - 4 Lines,Morfemas - 4 líneas
3_L_WORD,Word Gloss - 3 Lines,Palabras - 3 líneas
4_L_WORD,Word Gloss - 4 Lines,Palabras - 4 líneas
CUSTOM_G,Custom gloss format,Formato a medida
LINE_COUNT,Line count,Recuento de líneas
WRAPPING,Wrapping,Ajuste del texto
INST_BUTTON,Instructions,Instrucciones
QUIT_BUTTON,Quit,Salir
PREV_COPY,Preview & Copy,Prever y copiar
PREV_TEXT,Preview will appear here,La vista previa aparecerá aquí.
INST_TEXT,"1. Save your file in a supported format. Right now that's just .flextext.\n\n2. Click the ""Select File"" button and choose the file on your computer.\n\n3. The Source Software will automatically choose a default. Change it if needed. Right now, only .flextext files from FLEx are supported.\n\n4. Input the start and an optional end phrase. (Multiple phrases are not currently supported.) If only a start phrase is input, the tool will generate a table for a single phrase.\n\n5. Choose a preset glossing format or customize your own.\n\n6. Choose the format of your document and click ""Preview & Copy"". Note that while the markup will preserve formatting such as bolding and italics, the displayed font will depend on your final document.\n\nI hope AIGT is helpful for you. Email me at lcornwel@hawaii.edu if you have questions or suggestions.","1. Guarda tu archivo en un formato compatible. En este momento, es solo .flextext.\n\n2. Haz clic en ""Elegir archivo"" y selecciona el archivo en tu computadora.\n\n3. AIGT escogerá el software predeterminado. Ahora, solamente archivos de FLEx son compatibles.\n\n4. Entra el principio y un fin opcional. (Frases múltiples no actualmente son compatibles.) Con solo un principio, AIGT generará una tabla de una sola frase.\n\n5. Selecciona un formato de glosa predeterminada o personaliza tu propio.\n\n6. Escoge el formato de to documento (ahora, es solo LaTeX) y haz clic ""Prever y copiar"". Nota que el marcado mantenerá el formato como la cursiva, etc.. La fuente dependerá de tu documento final.\n\nEspero que AIGT es ayudable para tí. Enviame un correo electrónico a lcornwel@hawaii.edu si tenga dudas o sugerencias."
RD_PARAGRAPH,Paragraph,Párrafo
RD_PHRASE,Phrase,Frase
RD_WORD,Word,Palbra
RD_MORPH,Morpheme,Morfema
RD_ITALIC,Italic,Itálica
RD_BOLD,Bold,Negrita
RD_QUOTES,'Single Quotes','Comilla simples'
RD_LEVEL,Level,Nivel
RD_TYPE,Line,Línea
GL_CAT_MORPH,Morpheme glosses,Glosas de morfemas
GL_CAT_WORD,Word glosses,Glosas de palabras
GL_LINE_3,Three lines,Tres líneas
GL_LINE_4,Four lines,Cuatro líneas
